OUTLET NAME,MERCHANT NAME,ADDRESS1,ADDRESS2,AREA,CITY,PINCODE,STATE,NEW CATEGORY,ENABLED WITH BQR CODE
Tejas Shree Hyper Market,Tejas Shree Hyper Market,No 9812 9813,Thiruverkadu Main Road,Ayapakkam,Chennai,600077,Tamil Nadu,SUPER MARKET,YES
Laksmi Vegetable Shop,Shirali Raju Bhai Patel,Shopping Complex Essar Nand,Niketan Township,Hazira,Surat,394270,Gujarat,SUPER MARKET,YES
Annas Cafe,Thirugnanam M,"K Block, Kings Tower",Essar Nand Niketan Township,Hazira,Surat,394270,Gujarat,FAST FOOD,YES
Sunitha Fruits Dryfruits And Spices,Sunitha Fruits Dryfruits And Spices,Block 1 Shop No 7 Sy No 76a And 77,Nagarjuna Homes,Nizampet,Hyderabad,500072,Telangana,SUPER MARKET,YES
Shree Jayant Store,Shree Jayant Store,Shop No 22 Satyapark Ellorapark,Opp Hanuman Ji Temple,Subhanpura,Vadodara,390023,Gujarat,SUPER MARKET,NO
Biriyani Zone,Biriyani Zone Restaurants Pvt Ltd,No.122,Murugeshpalya,Old Airport Road,Bangalore,560075,Karnataka,FAST FOOD,NO
Biriyani Zone,Biriyani Zone Restaurants Pvt Ltd,"No.17/B 13,14","Sector A, Near Town Extension",Yelahanka,Bangalore,560065,Karnataka,FAST FOOD,NO
Shankar Singh,Shankar Singh,Ward No 04,Malhipur  Bihat,Btps,Begusarai,851116,Bihar,SUPER MARKET,YES
Taad Jhula Food Corner,Sakshi Hospitality Services,C And D Block Essar Nand Niketan,Township,Hazira,Surat,394270,Gujarat,CANTEEN / CATERERS,YES
Pizzoonomy,Stark Enterprises,Rassaz Shopping Mall,Shanti Nagar Mira Road,Shanti Nagar,Thane,401107,Maharashtra,FAST FOOD,NO
Shyam Dairy And Sweet Mart,Shyam Dairy And Sweet Mart,Shopping Complex Essar Nand,Niketan Township,Hazira,Surat,394270,Gujarat,SWEETS /BAKERIES / DRY FRUITS / DAIRY PRODUCTS/  OTHERS,YES
Tarapat Rajendra General Stores,Tarapatla Rajendra,Nandiniketan F Block 1,Essar Hazira,Essar Hazira,Surat,394270,Gujarat,SUPER MARKET,YES
